DATE,NASDAQCOM,Change
1971-02-05,100,
1971-02-08,100.84,0.0084
1971-02-09,100.76,-0.000793336
1971-02-10,100.69,-0.00069472
1971-02-11,101.45,0.007547919
1971-02-12,102.05,0.005914243
1971-02-15,102.05,0
1971-02-16,102.19,0.001371877
1971-02-17,101.74,-0.004403562
1971-02-18,101.42,-0.003145272
1971-02-19,100.7,-0.007099191
1971-02-22,99.68,-0.010129096
1971-02-23,99.72,0.000401284
1971-02-24,100.64,0.009225832
1971-02-25,101.23,0.00586248
1971-02-26,101.34,0.001086634
1971-03-01,101.78,0.00434182
1971-03-02,101.84,0.000589507
1971-03-03,102.07,0.002258445
1971-03-04,102.78,0.006956011
1971-03-05,103.51,0.007102549
1971-03-08,104.23,0.00695585
1971-03-09,104.41,0.00172695
1971-03-10,104.14,-0.002585959
1971-03-11,104.26,0.001152295
1971-03-12,104.5,0.002301937
1971-03-15,105.13,0.006028708
1971-03-16,105.56,0.004090174
1971-03-17,105.5,-0.000568397
1971-03-18,105.88,0.003601896
1971-03-19,105.77,-0.001038912
1971-03-22,105.37,-0.003781791
1971-03-23,105.11,-0.002467495
1971-03-24,104.7,-0.003900675
1971-03-25,104.6,-0.00095511
1971-03-26,105.07,0.004493308
1971-03-29,105.2,0.00123727
1971-03-30,105.44,0.002281369
1971-03-31,105.97,0.005026555
1971-04-01,106.34,0.003491554
1971-04-02,106.86,0.004889976
1971-04-05,107.17,0.002900992
1971-04-06,107.56,0.003639078
1971-04-07,108.06,0.004648568
1971-04-08,108.38,0.002961318
1971-04-09,108.38,0
1971-04-12,108.87,0.004521129
1971-04-13,108.85,-0.000183705
1971-04-14,109.08,0.002113
1971-04-15,109.69,0.005592226
1971-04-16,109.96,0.002461482
1971-04-19,110.16,0.001818843
1971-04-20,109.53,-0.005718954
1971-04-21,109.52,-9.13E-05
1971-04-22,109.99,0.004291454
1971-04-23,110.69,0.006364215
1971-04-26,111.13,0.003975065
1971-04-27,111.69,0.005039143
1971-04-28,112.37,0.00608828
1971-04-29,112.46,0.000800926
1971-04-30,112.3,-0.001422728
1971-05-03,111.35,-0.008459484
1971-05-04,111.77,0.00377189
1971-05-05,111.68,-0.000805225
1971-05-06,111.06,-0.005551576
1971-05-07,110.66,-0.003601657
1971-05-10,110.15,-0.004608711
1971-05-11,110.33,0.001634135
1971-05-12,110.37,0.000362549
1971-05-13,110.55,0.001630878
1971-05-14,110.74,0.001718679
1971-05-17,109.15,-0.014357956
1971-05-18,108.4,-0.006871278
1971-05-19,108.33,-0.000645756
1971-05-20,108.72,0.003600111
1971-05-21,108.85,0.001195732
1971-05-24,108.42,-0.00395039
1971-05-25,107.5,-0.008485519
1971-05-26,107.53,0.00027907
1971-05-27,107.6,0.000650981
1971-05-28,108.25,0.006040892
1971-05-31,108.25,0
1971-06-01,108.87,0.005727483
1971-06-02,109.56,0.006337834
1971-06-03,110.22,0.006024096
1971-06-04,110.66,0.003992016
1971-06-07,110.76,0.000903669
1971-06-08,110.02,-0.006681112
1971-06-09,109.79,-0.002090529
1971-06-10,110.06,0.00245924
1971-06-11,110.2,0.001272033
1971-06-14,109.57,-0.005716878
1971-06-15,109.36,-0.001916583
1971-06-16,109.44,0.000731529
1971-06-17,109.44,0
1971-06-18,108.16,-0.011695906
1971-06-21,106.5,-0.015347633
1971-06-22,105.49,-0.009483568
1971-06-23,105.99,0.004739786
1971-06-24,106.37,0.003585244
1971-06-25,106.56,0.001786218
1971-06-28,106.45,-0.001032282
1971-06-29,107.22,0.007233443
1971-06-30,107.8,0.005409439
1971-07-01,108.47,0.006215213
1971-07-02,108.77,0.002765742
1971-07-05,108.77,0
1971-07-06,109.23,0.004229107
1971-07-07,110.01,0.007140895
1971-07-08,110.42,0.003726934
1971-07-09,110.91,0.004437602
1971-07-12,111.24,0.002975385
1971-07-13,110.76,-0.004314995
1971-07-14,110.34,-0.003791983
1971-07-15,110.72,0.003443901
1971-07-16,109.98,-0.006683526
1971-07-19,109.37,-0.005546463
1971-07-20,109.79,0.003840176
